hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0
9, 0.00000, 0, 0, 0, 0
10, 0.00000, 0, 0, 0, 0
11, 0.00000, 0, 0, 0, 0
12, 0.00000, 0, 0, 0, 0
13, 0.00000, 0, 0, 0, 0
14, 0.00000, 0, 0, 0, 0
15, 0.00000, 0, 0, 0, 0
16, 0.00000, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0
31, 0.00000, 0, 0, 0, 0
32, 0.00000, -14.2175, 162.851, 0, 0
33, 0.00000, -36.0887, 162.851, 0, 0
34, 0.00000, -58.9512, 162.851, 0, 0
35, 0.00000, -38.1988, 162.851, 0, 0
36, 0.00000, -64.2533, 162.851, 0, 0
37, 0.00000, -78.9428, 162.851, 0, 0
38, 0.00000, -89.8797, 162.851, 0, 0
39, 0.00000, -80.704, 162.851, 0, 0
40, 0.00000, -75.581, 162.851, 0, 0
41, 0.00000, -96.9522, 162.851, 0, 0
42, 0.00000, -96.8103, 162.851, 0, 0
43, 0.00000, -99.6556, 162.851, 0, 0
44, 0.00000, -125.082, 162.851, 0, 0
45, 0.00000, -120.136, 162.851, 0, 0
46, 0.00000, -123.63, 162.851, 0, 0
47, 0.00000, -123.242, 162.851, 0, 0
48, 0.00000, -121.969, 162.851, 0, 0
49, 0.00000, -100.258, 162.851, 0, 0
50, 0.00000, -119.052, 162.851, 0, 0
51, 0.00000, -125.529, 162.851, 0, 0
52, 0.00000, -127.611, 162.851, 0, 0
53, 0.00000, -139.262, 162.851, 0, 0
54, 0.00000, -129.735, 162.851, 0, 0
55, 0.00000, -125.666, 162.851, 0, 0
56, 0.00000, -108.82, 162.851, 0, 0
57, 0.00000, -67.0404, 162.851, 0, 0
58, 0.00000, -37.4753, 162.851, 0, 0
59, 0.00000, -122.983, 162.851, 0, 0
60, 0.00000, -93.516, 162.851, 0, 0
61, 0.00000, -102.938, 162.851, 0, 0
62, 0.00000, -97.3408, 162.851, 0, 0
63, 0.00000, -92.0712, 162.851, 0, 0
64, 0.00000, -84.1681, 162.851, 0, 0
65, 0.00000, -79.657, 162.851, 0, 0
66, 0.00000, -74.776, 162.851, 0, 0
67, 0.00000, -78.1704, 162.851, 0, 0
68, 0.00000, -34.4206, 162.851, 0, 0
69, 0.00000, -44.5362, 162.851, 0, 0
70, 0.00000, -13.6244, 162.851, 0, 0
71, 0.00000, -11.2656, 162.964, 0, 0
