Timestamp,Circuit.ieee13nodeckt__LineLosses
2020-01-01 07:00:00,(37.28415837002107+109.88480586738072j)
2020-01-01 07:15:00,(37.90665911543205+111.84031029033262j)
2020-01-01 07:30:00,(37.907638932006456+111.84338637161063j)
2020-01-01 07:45:00,(28.1396939572572+82.62905081517852j)
2020-01-01 08:00:00,(28.14319164181602+82.63983417644094j)
2020-01-01 08:15:00,(28.143211639424635+82.639897864278j)
2020-01-01 08:30:00,(23.80770296667909+69.65001146267215j)
2020-01-01 08:45:00,(23.806157437254715+69.64516697997732j)
2020-01-01 09:00:00,(23.806150348937475+69.64514342492716j)
2020-01-01 09:15:00,(23.806150322898006+69.64514332733474j)
2020-01-01 09:30:00,(23.806150322871684+69.64514332705697j)
2020-01-01 09:45:00,(20.996052404412758+61.22411178989897j)
2020-01-01 10:00:00,(20.995152185492618+61.22128272608015j)
2020-01-01 10:15:00,(20.995148713894086+61.22127095653179j)
2020-01-01 10:30:00,(19.6131346385502+57.09641976937711j)
2020-01-01 10:45:00,(19.613726895080248+57.09846152849979j)
2020-01-01 11:00:00,(19.613728619874358+57.09846823036866j)
2020-01-01 11:15:00,(19.613728622563873+57.098468246076564j)
2020-01-01 11:30:00,(19.61372862247818+57.098468246043964j)
2020-01-01 11:45:00,(19.376721652288218+56.38801492966499j)
2020-01-01 12:00:00,(19.375773440960792+56.38507511572441j)
2020-01-01 12:15:00,(19.375769743716134+56.385063203062984j)
2020-01-01 12:30:00,(20.427399638708355+59.537702986693965j)
2020-01-01 12:45:00,(20.427682749516382+59.538594292704744j)
2020-01-01 13:00:00,(20.427683876744723+59.53859800689057j)
2020-01-01 13:15:00,(20.427683880787658+59.53859802116618j)
2020-01-01 13:30:00,(20.427683880771124+59.53859802124108j)
2020-01-01 13:45:00,(22.564467933462964+65.94352532284303j)
2020-01-01 14:00:00,(22.565110098293616+65.94554252884727j)
2020-01-01 14:15:00,(22.565112938599384+65.9455518025933j)
2020-01-01 14:30:00,(24.424229158048067+71.51745470101525j)
2020-01-01 14:45:00,(24.42482919366992+71.51933636567362j)
2020-01-01 15:00:00,(24.42483206235771+71.5193456744197j)
2020-01-01 15:15:00,(24.424832075358008+71.51934571857979j)
2020-01-01 15:30:00,(24.424832075349965+71.5193457187614j)
2020-01-01 15:45:00,(27.353342778598705+80.2953118649752j)
2020-01-01 16:00:00,(27.354408393775664+80.29864609246677j)
2020-01-01 16:15:00,(27.354414047986378+80.2986643056874j)
2020-01-01 16:30:00,(31.304223171117883+92.1339329176058j)
2020-01-01 16:45:00,(31.3058731027255+92.13908290039794j)
2020-01-01 17:00:00,(31.305882938815582+92.13911435684673j)
2020-01-01 17:15:00,(31.30588299645184+92.13911454675028j)
2020-01-01 17:30:00,(31.305882996736706+92.13911454782986j)
2020-01-01 17:45:00,(33.797388195418094+99.604256129774j)
2020-01-01 18:00:00,(33.798494032320946+99.60770335339492j)
2020-01-01 18:15:00,(33.7985010569997+99.6077257398238j)
2020-01-01 18:30:00,(34.76825369346189+102.51283234610624j)
2020-01-01 18:45:00,(34.77375098389049+102.52979761748882j)
2020-01-01 19:00:00,(34.7737864445562+102.52990924138447j)
2020-01-01 19:15:00,(34.77378667445676+102.5299099820654j)
2020-01-01 19:30:00,(34.773786675961674+102.52990998697454j)
2020-01-01 19:45:00,(35.644014870712965+105.13684672038134j)
2020-01-01 20:00:00,(35.64902244936538+105.15229772435478j)
2020-01-01 20:15:00,(35.64905536832655+105.15240127762803j)
2020-01-01 20:30:00,(34.315360398492544+101.15643136518976j)
2020-01-01 20:45:00,(34.31477687474167+101.15461286565089j)
2020-01-01 21:00:00,(34.3147731214677+101.15460091301388j)
2020-01-01 21:15:00,(34.31477309747705+101.15460083489528j)
2020-01-01 21:30:00,(34.31477309730785+101.1546008344558j)
